question_id,question,mode,steps_used,retrieved_files,answer,citations,grounded_precision,accuracy,notes
Q01,What does 'faithfulness' mean in LLM evaluation?,llm,0,,"In the context of evaluating large language models (LLMs), 'faithfulness' refers to the model's ability to generate outputs that accurately reflect the information or context provided in the input. This means that the responses should be truthful, consistent with the source material, and not introduce falsehoods or misleading information. Faithfulness is crucial for ensuring that the model's outputs can be trusted and are reliable, especially in applications where accuracy is essential, such as in summarization, question answering, and information retrieval.",,0.0,0.5,
Q01,What does 'faithfulness' mean in LLM evaluation?,react,5,policy_eval_playbook.pdf; 22_ai_evals.md; 09_health_data.md; 12_rag.md; guide_evidence_citations.pdf,"In the context of LLM (Large Language Model) evaluation, ""faithfulness"" refers to the degree to which the model's outputs are supported by the evidence it retrieves. It is often associated with the concept of ""groundedness,"" indicating that the generated responses should be based on reliable and relevant information. Specifically, faithfulness ensures that the answers provided by the model are not only relevant but also accurately reflect the information from the sources it draws upon [22_ai_evals.md] ""Common dimensions include relevance, faithfulness (groundedness), and robustness."" and [policy_eval_playbook.pdf:1] ""Faithfulness means the answer is supported by retrieved evidence.""","[22_ai_evals.md] ""Common dimensions include relevance, faithfulness (groundedness), and robustness.""; [policy_eval_playbook.pdf:1] ""Faithfulness means the answer is supported by retrieved evidence.""",1.0,0.7,
Q02,Name two defenses against prompt injection.,llm,0,,"Two defenses against prompt injection are:

1. **Input Validation and Sanitization**: Ensuring that user inputs are properly validated and sanitized can help prevent malicious prompts from being executed. This involves checking for unexpected characters or patterns that could alter the intended behavior of the model.

2. **Contextual Awareness**: Implementing mechanisms that maintain context and track the state of the conversation can help the model recognize and disregard prompts that attempt to manipulate its responses. This can involve using a more structured dialogue management system to filter out harmful inputs.",,0.0,0.6,
Q02,Name two defenses against prompt injection.,react,3,07_prompt_injection.md; 22_ai_evals.md; guide_evidence_citations.pdf; policy_safety_notes.pdf,"Two defenses against prompt injection are:

1. **Instruction Hierarchy**: This involves establishing a clear hierarchy of instructions to ensure that critical system commands are prioritized over user inputs.
   
2. **Strict Tool Schemas**: Implementing strict schemas for tools can help limit the types of inputs that can be processed, thereby reducing the risk of prompt injection.

These defenses aim to protect against attempts to override system instructions or exfiltrate hidden data [07_prompt_injection.md] ""Defenses include instruction hierarchy, strict tool schemas, and content filtering.""","[07_prompt_injection.md] ""Defenses include instruction hierarchy, strict tool schemas, and content filtering.""",1.0,0.4,
Q03,Why do agent systems use a max-steps limit?,llm,0,,"Agent systems use a max-steps limit to prevent infinite loops and ensure that the system can terminate or make progress within a reasonable timeframe. This limit helps manage computational resources effectively, allowing for predictable performance and enabling the system to handle tasks in a timely manner. Additionally, it can facilitate debugging and testing by providing a clear stopping point for analysis.",,0.0,0.8,
Q03,Why do agent systems use a max-steps limit?,react,2,policy_eval_playbook.pdf; 01_webapp_security.md; 07_prompt_injection.md,"Agent systems use a max-steps limit primarily to prevent infinite loops during execution. This safeguard ensures that the system does not get stuck in a cycle of actions without making progress. [policy_eval_playbook.pdf:1] ""A max-steps limit prevents infinite loops in agent execution.""","[policy_eval_playbook.pdf:1] ""A max-steps limit prevents infinite loops in agent execution.""",1.0,0.8,
Q04,What is a typical chunk size range recommended for narrative text?,llm,0,,"A typical chunk size range recommended for narrative text is between 100 to 300 words. This range allows for manageable segments that maintain coherence and flow, making it easier for readers to process and understand the content.",,0.0,0.3,
Q04,What is a typical chunk size range recommended for narrative text?,react,2,guide_chunking.pdf; 02_vector_search.md; 99_unstructured_notes.md,"The typical chunk size range recommended for narrative text is 600 to 1,000 tokens [guide_chunking.pdf:1] ""600–1,000 tokens for narrative text.""","[guide_chunking.pdf:1] ""600–1,000 tokens for narrative text.""",1.0,0.9,
Q05,What is the purpose of citations in research assistants?,llm,0,,"Citations in research serve several important purposes:

1. **Credibility**: They provide evidence for claims made in the research, enhancing the credibility of the work.
2. **Attribution**: Citations give proper credit to original authors and researchers, acknowledging their contributions to the field.
3. **Traceability**: They allow readers to trace the sources of information, enabling them to verify facts and explore further.
4. **Academic Integrity**: Proper citation helps prevent plagiarism by clearly distinguishing between the researcher’s ideas and those of others.
5. **Contextualization**: Citations situate the research within the existing body of knowledge, showing how it relates to previous work.

Overall, citations are essential for maintaining the integrity and reliability of academic and research work.",,0.0,0.2,
Q05,What is the purpose of citations in research assistants?,react,2,12_rag.md; 09_health_data.md; guide_evidence_citations.pdf; policy_eval_playbook.pdf,"The purpose of citations in research assistants is to improve user trust and enable verification of claims. This ensures that the information provided is credible and can be traced back to reliable sources. [12_rag.md] ""Citations improve user trust and enable verification of claims.""","[12_rag.md] ""Citations improve user trust and enable verification of claims.""",1.0,0.3,
Q06,"In a RAG pipeline, what does reranking do?",llm,0,,"In a Retrieval-Augmented Generation (RAG) pipeline, reranking is the process of evaluating and reordering the retrieved documents or passages based on their relevance to the query. After the initial retrieval step, where a set of candidate documents is selected, reranking uses additional criteria or models—often leveraging machine learning techniques—to assess which of these candidates are most likely to provide useful information for generating a response. This helps improve the quality of the final output by ensuring that the most relevant and informative content is prioritized for the generation phase.",,0.0,0.7,
Q06,"In a RAG pipeline, what does reranking do?",react,4,12_rag.md; guide_vector_index.pdf; 07_prompt_injection.md; 99_unstructured_notes.md,"In a RAG (Retrieval-Augmented Generation) pipeline, reranking is a process that improves the precision of the results by reordering the retrieved chunks. This means that after the initial retrieval of information, the reranker assesses and rearranges the order of these chunks to prioritize the most relevant ones for the final output. This step enhances the overall quality of the information presented to the user. 

The reranking process is part of the broader RAG framework, which includes stages such as ingestion, chunking, embedding, indexing, retrieval, and synthesis [12_rag_001] ""RAG typically includes ingestion, chunking, embedding, indexing, retrieval, and synthesis."" and [12_rag_003] ""A reranker can improve precision by reordering retrieved chunks.""","[12_rag_001] ""RAG typically includes ingestion, chunking, embedding, indexing, retrieval, and synthesis.""; [12_rag_003] ""A reranker can improve precision by reordering retrieved chunks.""",1.0,0.6,
Q07,Define variance analysis in simple terms.,llm,0,,"Variance analysis is a financial management tool used to assess the difference between planned financial outcomes and actual results. In simple terms, it helps organizations understand why their budgeted figures (like revenues or expenses) differ from what they actually achieved. By analyzing these variances, businesses can identify areas that need improvement, make informed decisions, and adjust future budgets or strategies accordingly.",,0.0,0.7,
Q07,Define variance analysis in simple terms.,react,2,01_finance_variance.md; 22_ai_evals.md; 03_product_metrics.md,"Variance analysis is the process of examining the difference between actual results and a benchmark, such as a budget or forecast. In simple terms, it helps organizations understand how their performance compares to what was expected. 

Citation: [01_finance_variance.md] ""Variance is the difference between actual results and a benchmark such as budget or forecast.""","[01_finance_variance.md] ""Variance is the difference between actual results and a benchmark such as budget or forecast.""",1.0,0.8,
Q08,Give two examples of variance drivers.,llm,0,,"Two examples of variance drivers are:

1. **Market Conditions**: Changes in economic factors such as inflation rates, interest rates, and consumer demand can significantly impact a company's financial performance, leading to variances in revenue and expenses.

2. **Operational Efficiency**: Variations in production processes, labor productivity, and supply chain management can affect costs and output levels, resulting in variances from budgeted or expected performance.",,0.0,0.6,
Q08,Give two examples of variance drivers.,react,3,01_finance_variance.md; 02_vector_search.md; 22_ai_evals.md,"Two examples of variance drivers are:

1. **Volume** - This refers to the quantity of goods or services sold, which can significantly impact revenue and costs.
2. **Price** - Changes in the selling price of products or services can also drive variance in financial results.

These drivers are among the largest contributors to variance, along with mix and cost [01_finance_variance.md] ""Drivers are the largest contributors to variance, often volume, price, mix, or cost.""","[01_finance_variance.md] ""Drivers are the largest contributors to variance, often volume, price, mix, or cost.""",1.0,0.8,
Q09,What are three common evaluation dimensions for LLM outputs?,llm,0,,"Three common evaluation dimensions for large language model (LLM) outputs are:

1. **Fluency**: This measures how grammatically correct and coherent the generated text is. Fluency assesses whether the output reads naturally and follows the conventions of the language.

2. **Relevance**: This dimension evaluates how well the output aligns with the input prompt or query. It checks if the generated content is appropriate and pertinent to the topic or question posed.

3. **Creativity**: This assesses the originality and inventiveness of the output. Creativity looks at how well the model can generate novel ideas, perspectives, or solutions rather than simply regurgitating common responses.",,0.0,0.3,
Q09,What are three common evaluation dimensions for LLM outputs?,react,5,22_ai_evals.md; 03_product_metrics.md; guide_evidence_citations.pdf,"Three common evaluation dimensions for LLM outputs are:

1. **Relevance**: This dimension assesses how well the output meets the user's query or intent.
2. **Faithfulness (Groundedness)**: This evaluates whether the output accurately reflects the information from the sources it is based on.
3. **Robustness**: This dimension measures the consistency and reliability of the output across different contexts or inputs [22_ai_evals.md] ""Common dimensions include relevance, faithfulness (groundedness), and robustness.""","[22_ai_evals.md] ""Common dimensions include relevance, faithfulness (groundedness), and robustness.""",1.0,0.9,
Q10,What is a regression suite in LLM evaluation?,llm,0,,"A regression suite in the context of large language model (LLM) evaluation refers to a set of tests designed to ensure that changes or updates to the model do not negatively impact its performance on previously established benchmarks. This suite typically includes a variety of tasks and metrics that the model is expected to perform well on, allowing developers to identify any regressions or declines in performance after modifications, such as fine-tuning or architecture changes. The goal is to maintain consistency and reliability in the model's outputs over time.",,0.0,0.5,
Q10,What is a regression suite in LLM evaluation?,react,2,22_ai_evals.md; 09_health_data.md; 12_rag.md; guide_vector_index.pdf,"A regression suite in LLM evaluation refers to a fixed set of prompts that are run on every change made to the model. This ensures that any modifications do not negatively impact the model's performance on previously established benchmarks. [22_ai_evals.md] ""A simple regression suite is a fixed set of prompts run on every change.""","[22_ai_evals.md] ""A simple regression suite is a fixed set of prompts run on every change.""",1.0,0.8,
Q11,What is the key idea behind embeddings in vector search?,llm,0,,"The key idea behind embeddings in vector search is to represent data (such as words, sentences, images, or other entities) as high-dimensional vectors in a continuous vector space. This allows for the capture of semantic relationships and similarities between the data points. By converting items into embeddings, vector search can efficiently find and retrieve similar items based on their proximity in this vector space, often using techniques like cosine similarity or Euclidean distance. This approach is particularly useful in applications like natural language processing and image recognition, where traditional search methods may struggle to capture nuanced relationships.",,0.0,0.8,
Q11,What is the key idea behind embeddings in vector search?,react,2,02_vector_search.md; 12_rag.md; guide_vector_index.pdf,"The key idea behind embeddings in vector search is that they map text to vectors in such a way that semantically similar items are positioned close to each other in the vector space. This allows for efficient searching and retrieval based on the meaning of the content rather than just keyword matching. [02_vector_search.md] ""Embeddings map text to vectors so semantically similar items are close in vector space.""","[02_vector_search.md] ""Embeddings map text to vectors so semantically similar items are close in vector space.""",1.0,0.8,
Q12,What trade-off do ANN methods make?,llm,0,,"Artificial Neural Networks (ANNs) often make a trade-off between model complexity and generalization ability. As the complexity of the model increases (e.g., more layers and neurons), the ANN can capture more intricate patterns in the training data. However, this can lead to overfitting, where the model performs well on training data but poorly on unseen data. Conversely, a simpler model may generalize better but might not capture all relevant patterns, leading to underfitting. Thus, the trade-off is between fitting the training data well and maintaining the ability to generalize to new, unseen data.",,0.0,0.3,
Q12,What trade-off do ANN methods make?,react,2,02_vector_search.md; guide_chunking.pdf; 09_health_data.md; policy_eval_playbook.pdf,"ANN methods make a trade-off between accuracy and speed, specifically trading a small accuracy loss for improved speed. This means that while they may not always provide the most precise results, they are significantly faster in processing. [02_vector_search.md] ""trade a small accuracy loss for speed.""","[02_vector_search.md] ""trade a small accuracy loss for speed.""",1.0,0.8,
Q13,List two stages in a RAG pipeline.,llm,0,,"Two stages in a Retrieval-Augmented Generation (RAG) pipeline are:

1. **Retrieval Stage**: In this stage, relevant documents or pieces of information are retrieved from a knowledge base or database based on the input query.

2. **Generation Stage**: After retrieval, this stage involves generating a coherent response or answer using the retrieved information, often employing a language model to synthesize the content.",,0.0,0.5,
Q13,List two stages in a RAG pipeline.,react,2,12_rag.md; 07_prompt_injection.md; 99_unstructured_notes.md; policy_safety_notes.pdf,"Two stages in a RAG (Retrieval-Augmented Generation) pipeline are:

1. **Ingestion** - This is the process of collecting and preparing data for use in the pipeline.
2. **Retrieval** - This stage involves fetching relevant information from the indexed data to assist in generating responses. 

These stages are part of a broader sequence that includes chunking, embedding, indexing, and synthesis as well [12_rag.md] ""RAG typically includes ingestion, chunking, embedding, indexing, retrieval, and synthesis.""","[12_rag.md] ""RAG typically includes ingestion, chunking, embedding, indexing, retrieval, and synthesis.""",1.0,0.8,
Q14,What is Scope 2 in carbon accounting?,llm,0,,"Scope 2 in carbon accounting refers to the indirect greenhouse gas emissions associated with the generation of purchased electricity, steam, heating, and cooling consumed by an organization. These emissions occur at the facility where the energy is produced, rather than at the organization’s own facilities. Scope 2 emissions are a key component of a company's overall carbon footprint and are important for understanding the environmental impact of energy consumption.",,0.0,0.8,
Q14,What is Scope 2 in carbon accounting?,react,2,01_climate.md; 09_health_data.md; guide_evidence_citations.pdf,"Scope 2 in carbon accounting refers to emissions associated with purchased energy. This includes the indirect emissions that result from the generation of electricity, steam, heating, and cooling that an organization purchases and consumes. Specifically, it is part of a broader framework that categorizes emissions into three scopes: Scope 1 covers direct emissions, while Scope 3 encompasses value-chain emissions. [01_climate.md] ""Scope 2 covers purchased energy.""","[01_climate.md] ""Scope 2 covers purchased energy.""",1.0,0.6,
Q15,Why is data minimization helpful?,llm,0,,"Data minimization is helpful for several reasons:

1. **Privacy Protection**: By collecting only the necessary data, organizations reduce the risk of exposing sensitive information, thereby enhancing user privacy.

2. **Regulatory Compliance**: Many data protection laws, such as the GDPR, mandate data minimization, helping organizations avoid legal penalties.

3. **Reduced Security Risks**: Less data means fewer targets for cyberattacks, which can lower the likelihood of data breaches and their associated costs.

4. **Improved Data Management**: Managing smaller datasets can lead to more efficient data processing and storage, making it easier to analyze and maintain data quality.

5. **Trust Building**: Organizations that practice data minimization can foster greater trust with customers, as they demonstrate a commitment to protecting personal information. 

Overall, data minimization aligns with ethical data practices and supports better data governance.",,0.0,0.6,
Q15,Why is data minimization helpful?,react,2,09_health_data.md; 01_webapp_security.md; 01_ops_incidents.md; 02_vector_search.md,"Data minimization is helpful because it reduces exposure to potential data breaches and lowers the compliance burden associated with data protection regulations. This practice limits the amount of personal data collected and retained, thereby enhancing privacy and security. [09_health_data.md] ""Data minimization reduces exposure and compliance burden.""","[09_health_data.md] ""Data minimization reduces exposure and compliance burden.""",1.0,0.8,
Q16,What is least privilege and why does it matter?,llm,0,,"Least privilege is a security principle that dictates that users, systems, and applications should be granted the minimum levels of access—or permissions—necessary to perform their functions. This means that individuals or systems should only have the rights they need to complete their tasks and nothing more.

This principle matters for several reasons:

1. **Reduced Risk of Abuse**: By limiting access, the potential for malicious actions or accidental misuse is minimized. If an account is compromised, the attacker has limited access to sensitive data or critical systems.

2. **Containment of Breaches**: In the event of a security breach, least privilege helps contain the damage. An attacker with limited access can only exploit a small part of the system rather than having free rein.

3. **Compliance and Governance**: Many regulatory frameworks and standards require the implementation of least privilege as part of their security controls, helping organizations meet compliance requirements.

4. **Improved Audit and Monitoring**: With fewer permissions granted, it becomes easier to track and monitor user activities, making it simpler to identify suspicious behavior.

Overall, implementing least privilege is a fundamental aspect of a robust security posture, helping to protect sensitive information and maintain system integrity.",,0.0,0.4,
Q16,What is least privilege and why does it matter?,react,4,01_webapp_security.md; 22_ai_evals.md; guide_evidence_citations.pdf; 07_prompt_injection.md; 01_climate.md; 09_health_data.md,"Least privilege is a security principle that restricts user access rights to the minimum necessary to perform their job functions. This approach is crucial because it helps to reduce the impact of credential compromise, meaning that if a user's credentials are stolen, the potential damage is limited to only the resources that the user has access to.

The importance of least privilege lies in its ability to enhance security by minimizing the attack surface and preventing unauthorized access to sensitive information and systems. By ensuring that users have only the permissions they need, organizations can better protect themselves against data breaches and other security incidents [01_webapp_security.md] ""Least privilege reduces the impact of credential compromise.""","[01_webapp_security.md] ""Least privilege reduces the impact of credential compromise.""",1.0,0.7,
Q17,What is a North Star metric?,llm,0,,"A North Star metric is a key performance indicator that a company uses to measure its long-term success and align its team around a common goal. It serves as a guiding light for decision-making and prioritization, helping to focus efforts on what truly drives value for customers and the business. The North Star metric typically reflects the core value that a product or service delivers to its users, and it helps ensure that all teams are working towards the same overarching objective.",,0.0,0.7,
Q17,What is a North Star metric?,react,3,03_product_metrics.md; 22_ai_evals.md; guide_vector_index.pdf; 02_vector_search.md,"A North Star metric is a key performance indicator that measures the core value delivered to users. It serves as a guiding metric for a company's growth and success, focusing on the most important aspect of the user experience. Additionally, guardrail metrics are used to ensure that optimizing the North Star metric does not negatively impact user experience [03_product_metrics.md] ""North Star metrics measure the core value delivered to users."" [03_product_metrics.md] ""Guardrail metrics prevent optimizing the North Star at the expense of user experience.""","[03_product_metrics.md] ""North Star metrics measure the core value delivered to users.""; [03_product_metrics.md] ""Guardrail metrics prevent optimizing the North Star at the expense of user experience.""",1.0,0.6,
Q18,Why do teams use runbooks during incidents?,llm,0,,"Teams use runbooks during incidents to provide a structured and standardized approach to incident response. Runbooks serve several key purposes:

1. **Consistency**: They ensure that all team members follow the same procedures, reducing variability in responses and minimizing errors.

2. **Efficiency**: Runbooks streamline the incident response process by providing clear, step-by-step instructions, which can help teams resolve issues more quickly.

3. **Knowledge Sharing**: They capture institutional knowledge and best practices, making it easier for new team members to understand how to handle incidents.

4. **Documentation**: Runbooks serve as a record of what actions were taken during an incident, which can be useful for post-incident reviews and improving future responses.

5. **Training**: They can be used as training materials for onboarding new team members, helping them learn the processes and tools used in incident management.

Overall, runbooks enhance the effectiveness and reliability of incident response efforts.",,0.0,0.4,
Q18,Why do teams use runbooks during incidents?,react,4,01_ops_incidents.md; 99_unstructured_notes.md; 07_prompt_injection.md,"Teams use runbooks during incidents primarily to standardize actions, which helps reduce the mean time to recovery. By providing clear, documented procedures, runbooks enable teams to respond more efficiently and effectively to incidents, ensuring that critical steps are not overlooked. This structured approach facilitates quicker resolution of issues and minimizes the impact on operations. 

Supporting evidence includes: ""Runbooks reduce mean time to recovery by standardizing actions"" [01_ops_incidents.md].",,0.0,0.8,
Q19,What is a key warning about retrieved text in RAG systems?,llm,0,,"A key warning about retrieved text in Retrieval-Augmented Generation (RAG) systems is that the retrieved information may be outdated, inaccurate, or contextually irrelevant. This can lead to the generation of responses that are misleading or incorrect, as the model may not adequately verify the reliability of the retrieved content before incorporating it into its output.",,0.0,0.5,
Q19,What is a key warning about retrieved text in RAG systems?,react,3,07_prompt_injection.md; 12_rag.md; policy_safety_notes.pdf; 99_unstructured_notes.md; 22_ai_evals.md,"A key warning about retrieved text in RAG (Retrieval-Augmented Generation) systems is that it should be treated as untrusted. Specifically, RAG systems should avoid executing any instructions that come from the retrieved text to prevent potential issues or errors. This caution is crucial for maintaining the integrity and reliability of the system's outputs [07_prompt_injection.md] ""RAG systems should treat retrieved text as untrusted and avoid executing instructions from it.""","[07_prompt_injection.md] ""RAG systems should treat retrieved text as untrusted and avoid executing instructions from it.""",1.0,0.8,
Q20,"When evidence is insufficient, what should the assistant do?",llm,0,,"When evidence is insufficient, the assistant should acknowledge the lack of information and refrain from making unsupported claims. It is important to provide accurate and reliable information, so if the knowledge is not available, the assistant should communicate that clearly.",,0.0,0.4,
Q20,"When evidence is insufficient, what should the assistant do?",react,0,,The assistant should explicitly state that there is no relevant information available in the corpus to answer the question.,,0.0,0.2,
